Char,score,score2,score3,score4
🚥,0,0,0,-1
🔄,0,0,0,-1
☄,0,0,0,-1
☨,0,0,0,-1
☯,0.001,0.005,0.003,-0.999
😢,0.007,0.035,0.021,-0.993
💣,0.007,0.035,0.021,-0.993
▓,0.011,0.055,0.033,-0.989
═,0.015,0.075,0.045,-0.985
😳,0.018,0.09,0.054,-0.982
🐘,0.023,0.115,0.069,-0.977
🐓,0.028,0.14,0.084,-0.972
🍳,0.028,0.14,0.084,-0.972
🚙,0.036,0.18,0.108,-0.964
📒,0.038,0.19,0.114,-0.962
🍛,0.038,0.19,0.114,-0.962
♚,0.041,0.205,0.123,-0.959
🍞,0.042,0.21,0.126,-0.958
🍯,0.045,0.225,0.135,-0.955
⠀,0.047,0.235,0.141,-0.953
🍤,0.053,0.265,0.159,-0.947
❁,0.056,0.28,0.168,-0.944
⛲,0.056,0.28,0.168,-0.944
👹,0.058,0.29,0.174,-0.942
👀,0.063,0.315,0.189,-0.937
🍗,0.063,0.315,0.189,-0.937
✦,0.063,0.315,0.189,-0.937
☷,0.064,0.32,0.192,-0.936
🚘,0.067,0.335,0.201,-0.933
🍏,0.067,0.335,0.201,-0.933
👩,0.067,0.335,0.201,-0.933
🔱,0.067,0.335,0.201,-0.933
🚋,0.067,0.335,0.201,-0.933
🏪,0.067,0.335,0.201,-0.933
❓,0.068,0.34,0.204,-0.932
🔪,0.07,0.35,0.21,-0.93
🐴,0.07,0.35,0.21,-0.93
🚑,0.071,0.355,0.213,-0.929
🆘,0.071,0.355,0.213,-0.929
🚍,0.071,0.355,0.213,-0.929
😟,0.072,0.36,0.216,-0.928
🐊,0.077,0.385,0.231,-0.923
🃏,0.083,0.415,0.249,-0.917
▼,0.083,0.415,0.249,-0.917
🚦,0.083,0.415,0.249,-0.917
🔓,0.083,0.415,0.249,-0.917
😵,0.085,0.425,0.255,-0.915
�,0.086,0.43,0.258,-0.914
📀,0.091,0.455,0.273,-0.909
↪,0.091,0.455,0.273,-0.909
❗,0.1,0.5,0.3,-0.9
👱,0.1,0.5,0.3,-0.9
⌛,0.1,0.5,0.3,-0.9
☑,0.101,0.505,0.303,-0.899
🌀,0.101,0.505,0.303,-0.899
╥,0.105,0.525,0.315,-0.895
📵,0.111,0.555,0.333,-0.889
🏯,0.111,0.555,0.333,-0.889
📍,0.111,0.555,0.333,-0.889
⏩,0.111,0.555,0.333,-0.889
☞,0.115,0.575,0.345,-0.885
©,0.117,0.585,0.351,-0.883
🍝,0.117,0.585,0.351,-0.883
⇧,0.118,0.59,0.354,-0.882
💯,0.12,0.6,0.36,-0.88
🐽,0.12,0.6,0.36,-0.88
😥,0.122,0.61,0.366,-0.878
😯,0.123,0.615,0.369,-0.877
🍲,0.125,0.625,0.375,-0.875
🛀,0.125,0.625,0.375,-0.875
⛪,0.125,0.625,0.375,-0.875
🚁,0.125,0.625,0.375,-0.875
📗,0.125,0.625,0.375,-0.875
♂,0.125,0.625,0.375,-0.875
🔩,0.125,0.625,0.375,-0.875
🌄,0.125,0.625,0.375,-0.875
🐅,0.125,0.625,0.375,-0.875
♮,0.125,0.625,0.375,-0.875
✋,0.126,0.63,0.378,-0.874
╮,0.127,0.635,0.381,-0.873
🍖,0.129,0.645,0.387,-0.871
🐳,0.13,0.65,0.39,-0.87
👦,0.133,0.665,0.399,-0.867
🌆,0.133,0.665,0.399,-0.867
🔹,0.133,0.665,0.399,-0.867
➨,0.136,0.68,0.408,-0.864
🔥,0.139,0.695,0.417,-0.861
🙇,0.14,0.7,0.42,-0.86
─,0.14,0.7,0.42,-0.86
👧,0.14,0.7,0.42,-0.86
😹,0.141,0.705,0.423,-0.859
🐂,0.143,0.715,0.429,-0.857
🐀,0.143,0.715,0.429,-0.857
║,0.145,0.725,0.435,-0.855
➡,0.147,0.735,0.441,-0.853
💥,0.148,0.74,0.444,-0.852
🐖,0.15,0.75,0.45,-0.85
🍫,0.152,0.76,0.456,-0.848
